customer_id,customer_number,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,street_address,city,state_province,postal_code,country_code,country_name,region,preferred_language,customer_segment,loyalty_tier,registration_date,is_active,source_system,record_source,created_at,updated_at
48eff04c-555a-4ffa-9823-76dafb7e60a4,CUST00000001,Brittany,Armstrong,Brittany Armstrong,Female,1993-12-26,brittany.armstrong@yahoo.com,(536)651-4020x47560,623 Elizabeth Summit Suite 377,West Samuelchester,Pennsylvania,10933,US,United States,AMER,English,Consumer,None,2023-12-26,True,MDM,POS,2023-12-26,2026-02-14 18:01:17.685150
158c5998-32c3-461b-abd2-30c964fc8216,CUST00000002,Caitlin,Church,Caitlin Church,Female,1964-09-18,caitlin.church796@aol.com,(397)788-4840x438,0643 Samantha Forks,Jamesborough,Connecticut,19957,US,United States,AMER,English,Consumer,None,2019-10-15,True,MDM,POS,2019-10-15,2026-02-14 18:01:17.686020
9b751309-ef12-4150-bb6b-2f243fb3769d,CUST00000003,Elizabeth,Hernandez,Elizabeth Hernandez,Female,1987-05-31,elizabeth.hernandez@gmail.com,(935)762-7758x09546,306 Kelly Lakes Apt. 720,Brentbury,North Dakota,93027,US,United States,AMER,English,Consumer,Gold,2023-12-31,True,MDM,POS,2023-12-31,2026-02-14 18:01:17.686860
17229c95-66f6-4e41-8e86-154618912336,CUST00000004,Yashawini,Vyas,Yashawini Vyas,Male,1972-06-09,yashawini.vyas@icloud.com,08776727403,"090, Thaman Circle",Surat,Odisha,776770,IN,India,APAC,Hindi,Consumer,Gold,2018-03-28,True,MDM,POS,2018-03-28,2026-02-14 18:01:17.710889
07145809-c271-404f-b84e-f5b3e3fac128,CUST00000005,裕美子,石井,裕美子 石井,Male,1961-09-09,裕美子.石井@outlook.com,090-7874-8554,564 藤田 Street,西多摩郡日の出町,小笠原村,640-2113,JP,Japan,JAPAN,Japanese,Consumer,Gold,2021-06-23,False,MDM,POS,2021-06-23,2026-02-14 18:01:17.735752
61fc8223-06ff-454a-80f8-16720dab347c,CUST00000006,Casey,Taylor,Casey Taylor,Male,2002-05-25,casey.taylor369@aol.com,+1-579-741-8158x40417,859 Brenda Estate,Lake Dawnshire,Nebraska,27959,US,United States,AMER,English,Consumer,Platinum,2020-04-11,False,MDM,POS,2020-04-11,2026-02-14 18:01:17.736795
2acd5184-c1c5-4668-9e67-ba20306262c9,CUST00000007,Maria,Gomez,Maria Gomez,Male,1996-04-28,maria.gomez@icloud.com,340.708.2199x819,14438 Phillips Road Suite 895,Farrellburgh,Nevada,02104,US,United States,AMER,English,Consumer,Gold,2022-07-03,True,MDM,POS,2022-07-03,2026-02-14 18:01:17.737665
21758cd8-c983-4fed-97ed-8a7059e220ab,CUST00000008,Michael,Hughes,Michael Hughes,Female,2003-02-04,michael.hughes@aol.com,6926023436,93907 Fry Mountains Apt. 571,South Kevinmouth,Wisconsin,26695,US,United States,AMER,English,Education,None,2023-07-15,True,MDM,POS,2023-07-15,2026-02-14 18:01:17.738452
27254798-5ea7-46ee-a71c-8a34bf18156a,CUST00000009,Stephanie,Jones,Stephanie Jones,Male,1982-02-22,stephanie.jones240@yahoo.com,+1-780-942-4131,8361 Brown Squares Suite 157,Josephfurt,North Carolina,02060,US,United States,AMER,English,Business,None,2024-05-20,False,MDM,POS,2024-05-20,2026-02-14 18:01:17.739242
9e9dece9-03b2-4bb5-b8ca-11078c32a506,CUST00000010,Suzanne,Robinson,Suzanne Robinson,Female,1956-06-20,suzanne.robinson@icloud.com,0117 4960203,"Studio 82
Price expressway",North Julianberg,Rachaelside,PR2 0ZL,UK,United Kingdom,EMEA,English,Business,None,2015-07-13,True,MDM,POS,2015-07-13,2026-02-14 18:01:17.761694
